testcase,testcase_id,source_format,target_format,phase,stage,run_idx,is_warmup,used_for_stats,dt_s,repeats,warmup
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,src_to_target,4,False,True,1.167356899997685,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_src_to_z88,0,True,False,1.0280556000070646,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_src_to_z88,1,False,True,1.028990300022997,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_src_to_z88,2,False,True,1.056711399985943,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_src_to_z88,3,False,True,1.0246663999860175,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_src_to_z88,4,False,True,1.0002351999864914,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_z88_to_json,0,True,False,0.596956700028386,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_z88_to_json,1,False,True,0.5843038000166416,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_z88_to_json,2,False,True,0.5922175999730825,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_z88_to_json,3,False,True,0.5865836000302806,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,nastran,roundtrip,rt_z88_to_json,4,False,True,0.5948467000271194,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,src_to_target,0,True,False,1.1453080999781378,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,src_to_target,1,False,True,1.1287778000114486,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,src_to_target,2,False,True,1.1327345000463538,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,src_to_target,3,False,True,1.1706115999841131,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,src_to_target,4,False,True,1.133790299994871,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_src_to_z88,0,True,False,0.848255600023549,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_src_to_z88,1,False,True,0.8513485000003129,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_src_to_z88,2,False,True,0.8494720000308007,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_src_to_z88,3,False,True,0.8402388999820687,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_src_to_z88,4,False,True,0.8470129999914207,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_z88_to_json,0,True,False,0.6640870000119321,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_z88_to_json,1,False,True,0.6297308999928646,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_z88_to_json,2,False,True,0.6271646999521181,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_z88_to_json,3,False,True,0.600248200003989,5,1
#10/Elastomerzahnkranz__Multimesh.dat,#10,ansys,z88,roundtrip,rt_z88_to_json,4,False,True,0.6586448999587446,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_src_to_z88,0,True,False,0.027194200025405735,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_src_to_z88,1,False,True,0.018326199962757528,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_src_to_z88,2,False,True,0.019173800013959408,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_src_to_z88,3,False,True,0.018891499959863722,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_src_to_z88,4,False,True,0.017864599998574704,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_z88_to_json,0,True,False,0.01600569998845458,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_z88_to_json,1,False,True,0.013926699990406632,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_z88_to_json,2,False,True,0.013097999966703355,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_z88_to_json,3,False,True,0.012912000005599111,5,1
#11/academic_rotor.cdb,#11,ansys,REF,ref,ref_z88_to_json,4,False,True,0.012598700006492436,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,src_to_target,0,True,False,0.019597499980591238,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,src_to_target,1,False,True,0.017820100008975714,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,src_to_target,2,False,True,0.019530899997334927,5,1
#11/academic_rotor.cdb,#11,ansys,abaqus,roundtrip,src_to_target,3,False,True,0.017677400028333068,5,1
